,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 96,,,,,,COTD 97,,,,,,COTD 98,,,,,,COTD 99,,,,,,COTD 100,,,
Map: COTW - Magrass by [CSC]Tommygaming,,,,,,Map: Painters Flow (Fun For Everyone!) by [Err]ferinine,,,,,,Map: Cotd - The Dark Knight by Diabler,,,,,,Map: COTD #99 - Bee Happy by DeeDeeNaNaNa,,,,,,Map: COTD 100 - Pretzel Quarry by cyberpunkninja,,,
,,Fastest Time: 40.408 by Hydro in Round 10,,,,,,Fastest Time: 40.082 by justMaki in Round 14,,,,,,Fastest Time: 43.867 by Hydro in Round 10,,,,,,Fastest Time: 45.622 by Kernkob in Final,,,,,,Fastest Time: 45.354 by [KURK] Quickracer10 in Final,
19,Northwind,41.937,8,,,19,FINSTER83,44.394,7,,,19,Matic_D,49.344,6,,,19,M4rv,49.075,7,,,,Matic_D,DNF,3
20,St Nicholas,42.048,8,,,20,[CSC] An Actual g00se,44.411,7,,,20,[ZET]Sword125,49.380,6,,,20,[FPV]PandaMane,DNF,7,,,,Kiprosa,DNF,3
21,palfly,42.063,8,,,21,[ZET] Wheelie,44.612,7,,,21,[CTR]Lamp,DNF,6,,,,[vibe]3rdseyeview,DNF,7,,,21,[ZET] Wheelie,DNF,2
22,[CTR]Mortishade,42.123,8,,,22,Noxitu,44.426,6,,,22,Toby,55.241,5,,,,[CTR]Mortishade,DNF,7,,,,[COMY]Weak_Knees,DNF,2
23,Wishfull,42.226,7,,,23,DeeDeeNaNaNa,44.510,6,,,23,[COMY]AndMe17,DNF,5,,,23,[ZET]Stick,48.093,6,,,,[CSC] variableferret,DNF,2
24,[ZET]Ploddip,42.329,7,,,24,[CSC] Shadynook,44.629,6,,,24,[FPV]PandaMane,DNF,5,,,24,brrryy,48.952,6,,,,ping,DNF,2
25,Kaktus05,42.599,7,,,25,[CTR]GuAlexItar,DNF,6,,,,agix,DNF,5,,,25,bunzen,49.810,6,,,,MackCheesy,DNF,2
26,DeeDeeNaNaNa,42.925,7,,,26,[TOG]Lazy_Echidna,44.815,5,,,26,Microknigh7,50.984,4,,,26,Hi Im Yolo,DNF,6,,,,[Err]ferinine,DNF,2
27,[CTR]Mμ,42.340,6,,,27,MMXD18,44.912,5,,,27,jjwoznia,52.912,4,,,27,FlamingSquid,48.794,5,,,,Hi Im Yolo,DNF,2
28,MMXD18,42.872,6,,,28,Form,44.986,5,,,28,[ZET]Stick,DNF,4,,,28,Reamerad,49.786,5,,,28,[CTR]Mμ,DNF,1
29,ping,43.106,6,,,29,Arepuz,DNF,5,,,,zostawilmniemaz,DNF,4,,,29,[CTR]Lamp,DNF,5,,,,[TOG]Lazy_Echidna,DNF,1
30,sobeisgood,43.202,6,,,30,gilgool,44.976,4,,,30,Tsunder,1:01.520,3,,,,Heart-TGV,DNF,5,,,,[ZET]LILWOOLEY,DNF,1
31,[CTR]Lamp,43.331,5,,,31,[RB]Chinpokomon,45.633,4,,,31,DNF artist (ZOMAN),DNF,3,,,31,MMXD18,49.456,4,,,,Noxitu,DNF,1
32,Form,43.525,5,,,32,St Nicholas,DNF,4,,,,FINSTER83,DNF,3,,,32,Hellmet,50.083,4,,,,MMXD18,DNF,1
33,Noxitu,43.976,5,,,,[CTR]Mμ,DNF,4,,,,Gerfboy,DNF,3,,,33,Form,DNF,4,,,,bunzen,DNF,1
34,Fatboy,44.420,5,,,34,Kiprosa,DNF,3,,,34,[ZET]vectortrajector,55.267,2,,,,frenchteost,DNF,4,,,,[ZET]Sword125,DNF,1
35,FINSTER83,44.072,4,,,,Kaktus05,DNF,3,,,35,wokonbike,55.682,2,,,35,[ZET]LILWOOLEY,52.166,3,,,,[ZET]Ploddip,DNF,1
36,brrryy,44.812,4,,,,[CTR]Lamp,DNF,3,,,36,sobeisgood,DNF,2,,,36,[its] it_is_nic,53.008,3,,,,alpa,DNF,1
37,[KAAS]stindt,55.183,4,,,,Matic_D,DNF,3,,,,Zodiak,DNF,2,,,37,Waaksaam,DNF,3,,,,[RB]Chinpokomon,DNF,1
38,deadlleg,DNF,4,,,38,Axo,46.632,2,,,38,Wolfman,DNF,1,,,,Babup,DNF,3,,,,Dartho Mas,DNF,1
39,koz,44.503,3,,,39,[KURK] lil_zwimpie,47.132,2,,,,[Tech] Veneficus,DNF,1,,,39,Noxitu,53.929,2,,,,n1emand,DNF,1
40,[CTR]Rourie13,44.701,3,,,40,dichotomystreams,48.020,2,,,,brrryy,DNF,1,,,40,[ZET]Sword125,46.417,2,,,,[ZET]vectortrajector,DNF,1
41,[ZET]LILWOOLEY,45.401,3,,,41,Tsunder,DNF,2,,,,Dartho Mas,DNF,1,,,41,agix,DNF,2,,,,Gerfboy,DNF,1
42,TrubP02,45.836,3,,,42,ZOMAN,DNF,1,,,,[ZET]LILWOOLEY,DNF,1,,,,ping,DNF,2,,,,[MRBL]dave.ahlersmeyer,DNF,1
43,Chicken,47.407,2,,,,[SOT]Loberless,DNF,1,,,,[I290] magostinho20,DNF,1,,,43,Gerfboy,55.832,1,,,,Apokus,DNF,1
44,Gerfboy,47.464,2,,,,[ZET]LILWOOLEY,DNF,1,,,,[CTR] Sandals,DNF,1,,,44,[I290] magostinho20,DNF,1,,,,Hellmet,DNF,1
45,theo_f,47.814,2,,,,[ZET]Sword125,DNF,1,,,,,,,,,,jdeshone,DNF,1,,,,DRWright38,DNF,1
46,[ZET]Sword125,DNF,2,,,,aizpun,DNF,1,,,,,,,,,,,,,,,,Ender,DNF,1
47,Dartho Mas,51.055,1,,,,[KURK]Smullie,DNF,1,,,,,,,,,,,,,,,,koprol In de kringloop,DNF,1
48,ionjig,52.071,1,,,,OutOfDucks,DNF,1,,,,,,,,,,,,,,,,imagineaclevernamehere,DNF,1
49,burnsidequest,53.820,1,,,,Drypted,DNF,1,,,,,,,,,,,,,,,,JoeRobot,DNF,1
,,,,,,,,,,,,,,,,,,,,,,,,,Timsen07,DNF,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,*awarded joint 2nd place due to disconnection in Round 11,,
,,,,,,,,,,,,,,,,,,,,,,,,,  which prevented Kernkob from making Finals,,
