,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 126,,,,,,COTD 127,,,,,,COTD 128,,,,,,COTD 129,,,,,,COTD 130,,,
Map: COTD #126 - Sakura Roots by Noxitu,,,,,,Map: COTD #127 - Arachnophobia by [CRT]Codewalt,,,,,,Map: COTD - Rainbow Glitter Puke Land by Murrl,,,,,,Map: COTD - Choices by [CTR] Sandals,,,,,,Map: COTD - Origin Tech by null/plexus,,,
27,agix,48.481,5,,,27,Orthros,43.260,6,,,27,St Nicholas,45.175,7,,,27,[ZET] Wheelie,45.424,7,,,27,Diabler,42.971,4
28,[Tame]stindt,48.028,4,,,28,Hi Im Yolo,43.282,6,,,28,Noxitu,46.074,7,,,28,Tudge Boat,48.681,7,,,28,[Tame]stindt,43.049,4
29,IronDragon111000,48.527,4,,,29,Gimpel,43.293,6,,,29,[Tame]stindt,45.026,6,,,29,[20x]K410K3N,45.347,6,,,29,DeiRex,43.309,4
30,[CSC] Shadynook,49.161,4,,,30,[20x]K410K3N,44.316,6,,,30,[CSC] Shadynook,45.392,6,,,30,Matic_D,45.680,6,,,30,Orthros,43.602,4
31,RoundNzt,DNF,4,,,31,St Nicholas,43.926,5,,,31,icRS,45.579,6,,,31,Nails,DNF,6,,,31,[CSC] DeeDeeNaNaNa,45.201,4
32,Form,48.378,3,,,32,Savage Package,44.255,5,,,32,rtube,DNF,6,,,,[ZET]Stick,DNF,6,,,32,Hi Im Yolo,42.980,3
33,[RB]Chinpokomon,51.202,3,,,33,[RB]Chinpokomon,44.526,5,,,33,[CTR]GuAlexItar,45.207,5,,,33,Noxitu,45.516,5,,,33,Erko,43.083,3
34,lost in trees,56.776,3,,,34,[GECK]R0nanC,44.624,5,,,34,Tudge Boat,45.301,5,,,34,[Quac] microways,49.210,5,,,34,brrryy,43.791,3
35,Matic_D,DNF,3,,,35,graysonvitek88,44.011,4,,,35,PlusMicron,45.446,5,,,35,B_ES,DNF,5,,,35,[IMP]TwoFace,44.727,3
36,MackCheesy,DNF,2,,,36,elekvault,44.058,4,,,36,[BAP]SixSixSevenSeven,DNF,5,,,,[CTR]Beans,DNF,5,,,36,Reamerad,45.438,3
,[CTR]GuAlexItar,DNF,2,,,37,Tudge Boat,44.069,4,,,37,Ender,46.132,4,,,37,alpa,45.504,4,,,37,Gimpel,46.378,3
,wokonbike,DNF,2,,,38,wokonbike,44.529,4,,,38,een,46.160,4,,,38,Potato Princess,45.728,4,,,38,Romans138,46.721,2
,dichotomystreams,DNF,2,,,39,mandodestiny,45.036,3,,,39,[GECK]R0nanC,46.343,4,,,39,Reamerad,45.944,4,,,39,[ZET] Wheelie,DNF,2
40,[20x]K410K3N,DNF,1,,,40,Babup,45.971,3,,,40,[XTR] [VK] Ulv_RaVn,47.153,4,,,40,[CSC]IronDragon111000,46.056,4,,,,Adam,DNF,2
,[ZET]vectortrajector,DNF,1,,,41,TtocsNeb,46.019,3,,,41,[TTR]MetalCJ,45.887,3,,,41,[fn]Form,46.056,3,,,,Savage Package,DNF,2
,Telumehtar,DNF,1,,,42,[TTV]incredulouspotato,46.095,3,,,42,[GFHL]loganbradley714,46.202,3,,,42,wokonbike,46.538,3,,,,thelolrus,DNF,2
,emdoki22,DNF,1,,,43,Ocanna,46.101,2,,,43,[CTR]Lamp,46.870,3,,,43,[Dino] Rex,47.060,3,,,,Dartho Mas,DNF,2
,Giganten,DNF,1,,,44,RufusDraco,41.191,2,,,44,Dartho Mas,DNF,3,,,44,[XTR] [VK] Ulv_RaVn,47.782,3,,,44,[TTR]MetalCJ,DNF,1
,,,,,,45,WotterBytes,DNF,2,,,45,Gimpel,47.070,2,,,45,[CSC]AndMe17,47.553,2,,,,PlusMicron,DNF,1
,,,,,,,somesortofjakie,DNF,2,,,46,Icey,47.142,2,,,46,Phasmanian,47.766,2,,,,[DNFF]lucanakin,DNF,1
,,,,,,47,jofk2415,DNF,1,,,47,cookie,47.335,2,,,47,een,48.153,2,,,,cookie,DNF,1
,,,,,,,[IMP]TwoFace,DNF,1,,,48,[RB]Chinpokomon,47.796,2,,,48,Savage Package,DNF,2,,,,[20x]K410K3N,DNF,1
,,,,,,,sawyervitek27,DNF,1,,,49,[I290] magostinho20,57.654,1,,,49,mandodestiny,47.611,1,,,,[PINK]incredulouspotato,DNF,1
,,,,,,,cookie,DNF,1,,,50,[NewB]Zeus,DNF,1,,,50,BrickEdwards,49.025,1,,,,[RB]Chinpokomon,DNF,1
,,,,,,,,,,,,,[EEN] Nick,DNF,1,,,51,[NewB]Zeus,49.269,1,,,,[ZET]LILWOOLEY,DNF,1
,,,,,,,,,,,,,jofk2415,DNF,1,,,52,crips.fourie,56.153,1,,,,wokonbike,DNF,1
,,,,,,,,,,,,,,,,,,,,,,,,,MacroMelon,DNF,1
,,,,,,,,,,,,,,,,,,,,,,,,,een,DNF,1
,,,,,,,,,,,,,,,,,,,,,,,,,[NewB]Zeus,DNF,1
,,,,,,,,,,,,,,,,,,,,,,,,,crips.fourie,DNF,1
,,,,,,,,,,,,,,,,,,,,,,,,,just_cody,DNF,1
,,,,,,,,,,,,,,,,,,,,,,,,,HolzkoppFischkopp,DNF,1
