,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 91,,,,,,COTD 92,,,,,,COTD 93,,,,,,COTD 94,,,,,,COTD 95,,,
Map: COTD - Snowy Apocalypse Trein by GoBigGoHotWheels,,,,,,Map: COTD - Red Velvet by Pants + [CRT]Codewalt,,,,,,Map: CotD - Skylands (Happy Mother's Day!) by [GFHL]loganbradley714,,,,,,Map: The Grind by palfly,,,,,,Map: COTD - Floating Fernway by Butter,,,
,,Fastest Time: 41.809 by [kob] ZOMAN in Final,,,,,,Fastest Time: 40.000 by Kernkob in Round 15,,,,,,Fastest Time: 43.968 by clycl in Round 13,,,,,,Fastest Time: 42.196 by justMaki in Final,,,,,,Fastest Time: 44.011 by Kernkob in Round 15,
,[CSC] Shadynook,DNF,8,,,13,[ZET]Stick,41.468,8,,,13,[ZET]Stick,DNF,8,,,13,[CHEZ]MackCheesy,43.519,7,,,13,DeiRex,45.247,9
14,[COMY]Weak_Knees,44.143,7,,,14,palfly,41.999,8,,,14,[CTR]Mμ,46.233,7,,,14,[CSC] redal,DNF,7,,,14,elekvault,45.338,9
15,[CSC] redal,44.203,7,,,15,magical,42.092,8,,,15,[ZET] Wheelie,46.649,7,,,15,[CTR]GuAlexItar,44.029,6,,,15,MackCheesy,51.043,9
16,{Oink}Grimlord,44.449,7,,,16,Murrl,42.171,8,,,16,[TBD] Renergy,DNF,7,,,16,[COMY]Weak_Knees,44.504,6,,,16,[FPV]PandaMane,DNF,9
17,Form,44.594,7,,,17,[COMY]Weak_Knees,41.730,7,,,,[CTR]GuAlexItar,DNF,7,,,17,Form,44.631,6,,,17,[CTR] PoopSheriff,45.248,8
18,[TOG]Lazy_Echidna,45.383,6,,,18,[CHEZ]MackCheesy,42.255,7,,,18,[TOG]Lazy_Echidna,47.212,6,,,18,RoundNzt,DNF,6,,,18,[CTR]Mμ,45.374,8
19,[CTR]GuAlexItar,DNF,6,,,19,[CSC]Tommygaming5132,42.796,7,,,19,[CTR]OwlPlague,47.232,6,,,19,[CTR]Mortishade,45.753,5,,,19,ping,45.526,8
,cipi,DNF,6,,,20,[CTR]GuAlexItar,DNF,7,,,20,Form,47.606,6,,,20,[TBD]XpERt,DNF,5,,,20,Noxitu,46.003,8
,Noxitu,DNF,6,,,21,ping,42.640,6,,,21,Weside,47.860,6,,,,[CTR]Striking Vyper,DNF,5,,,21,Da_blob,45.427,7
22,jackflef,45.723,5,,,22,[ZET]Wheelie,42.864,6,,,22,[CSC]Tommygaming6132,48.208,5,,,,ping,DNF,5,,,22,[ZET] Wheelie,45.489,7
23,agix,50.710,5,,,23,[TOG]Lazy_Echidna,43.472,6,,,23,ping,49.127,5,,,23,Hi Im Yolo,45.793,4,,,23,[COMY]Weak_Knees,45.492,7
24,Lexer,DNF,5,,,24,DeeDeeNaNaNa,44.891,6,,,24,[TBD] robert tube,DNF,5,,,24,St NIcholas,DNF,4,,,24,Hi Im Yolo,45.900,7
,376,DNF,5,,,25,FINSTER83,43.360,5,,,,[CSC] variableferret,DNF,5,,,,[CSC]Tommygaming5132,DNF,4,,,25,Kaktus05,46.207,6
26,[CHEZ]PandaMane,46.169,4,,,26,FlamingSquid,43.469,5,,,26,[CSC]OLR94,49.168,4,,,,Matic_D,DNF,4,,,26,DeeDeeNaNaNa,46.339,6
27,ping,46.343,4,,,27,Noxitu,44.765,5,,,27,[ZET]LILWOOLEY,50.446,4,,,27,Orthros,DNF,3,,,27,maxie12,46.568,6
28,Joe-bgaming,47.177,4,,,28,[RB]Chinpokomon,46.976,5,,,28,RadAbsRad,DNF,4,,,,[ZET]Sword125,DNF,3,,,28,ZOMAN,DNF,6
29,Heart-TGV,DNF,4,,,29,[ZAP] Whatsapp,45.693,4,,,,[TBD]XpERt,DNF,4,,,,[CTR]Lamp,DNF,3,,,29,[CTR]Mortishade,46.051,5
30,[ZET]LILWOOLEY,47.922,3,,,30,[NOOB]SkyVirus,46.180,4,,,30,[COMY]Weak_Knees,DNF,3,,,,imagineaclevernamehere,DNF,3,,,30,[CTR]Lamp,46.595,5
31,St Nicholas,DNF,3,,,31,[COMY]AndMe17,DNF,4,,,,[CSC] redal,DNF,3,,,31,[vibe]3rdseyeview,DNF,2,,,31,Reamerad,46.652,5
,Kiprosa,DNF,3,,,32,DeiRex,DNF,4,,,,[CTR] PoopSheriff,DNF,3,,,,[ZET] Wheelie,DNF,2,,,32,Microknigh7,46.757,5
,[bam]Lamp,DNF,3,,,33,[ZET]Sword125,49.390,3,,,,DeeDeeNaNaNa,DNF,3,,,,Piru,DNF,2,,,33,[ZET]LILWOOLEY,47.410,4
34,[CTR]Mμ,DNF,2,,,34,[FPV]Lλmbda,DNF,3,,,,[CTR]Mortishade,DNF,3,,,,Joe-bgaming,DNF,2,,,34,Gerfboy,48.593,4
,OfMany,DNF,2,,,,[CTR]Lamp,DNF,3,,,,kotosy,DNF,3,,,,bunzen,DNF,2,,,35,[CSC]Tommygaming5132,DNF,4
,[Err]ferinine,DNF,2,,,,dichotomystreams,DNF,3,,,36,Gerfboy,50.217,2,,,,Fatboy,DNF,2,,,,[CSC] variableferret,DNF,4
,dichotomystreams,DNF,2,,,37,[ZET]LILWOOLEY,50.030,2,,,37,Kilandor,54.118,2,,,37,ZOMAN,DNF,1,,,37,lokja,DNF,3
,Fis.Babup,DNF,2,,,38,VaporPalms,52.261,2,,,38,Noxitu,DNF,2,,,,Northwind,DNF,1,,,,Weside,DNF,3
39,[CTR]PoopSheriff,DNF,1,,,39,Edwin,56.048,2,,,,Lamp,DNF,2,,,,Zodiak,DNF,1,,,,[ZET]Sword125,DNF,3
,Trapdoor,DNF,1,,,40,[bam]Mortishade,DNF,2,,,40,Butter,DNF,1,,,,alpa,DNF,1,,,,Mazzy,DNF,3
,Hi Im Yolo,DNF,1,,,41,agix,DNF,1,,,,[ZET]void,DNF,1,,,,Noxitu,DNF,1,,,41,[F1] magostinho20,51.529,2
,[bam]Mortishade,DNF,1,,,,Hi Im Yolo,DNF,1,,,,Zodiak,DNF,1,,,,Noot Noot 42.0,DNF,1,,,42,[COMY]AndMe17,DNF,2
,embalmer,DNF,1,,,,aizpun,DNF,1,,,,[ZET]Sword125,DNF,1,,,,koz,DNF,1,,,,[LEXR]frenchteost,DNF,2
,Gerfboy,DNF,1,,,,Bynzyldyhydeditoximonothaixatide,DNF,1,,,,aizpun,DNF,1,,,,[ZET]LILWOOLEY,DNF,1,,,,[Anub]1618chris,DNF,2
,Dartho Mas,DNF,1,,,,Geoloco,DNF,1,,,,TheNetworkDoctor,DNF,1,,,,Yin Yang Huo,DNF,1,,,45,bunzen,DNF,1
,Ludi Becher,DNF,1,,,,Enix,DNF,1,,,,Bynzyldyhydeditoximonothaixatide,DNF,1,,,,Idontcare,DNF,1,,,,Dartho Mas,DNF,1
,[NOOB]SkyVirus,DNF,1,,,,Dartho Mas,DNF,1,,,,[BAD] JavaPlayz,DNF,1,,,,Enix,DNF,1,,,,Movin'n'Groovin,DNF,1
,Northwind,DNF,1,,,,Apokus,DNF,1,,,,zrenica,DNF,1,,,,Dartho Mas,DNF,1,,,,[CTR]L3it3R,DNF,1
,Zodiak,DNF,1,,,,,,,,,,K410K3N,DNF,1,,,,keithmorgan2012,DNF,1,,,,Lenin Brega,DNF,1
,,,,,,,,,,,,,Space_cat9999,DNF,1,,,,,,,,,,MetalCJ,DNF,1
