,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 6,,,,,,COTD 7,,,,,,COTD 8,,,,,,COTD 9,,,,,,COTD 10,,,
Map: I Write Sins Not Tragedies by [CTR]TheBamboozler,,,,,,Map: Codewalt of the day by Codewalt,,,,,,Map: COTD - FFFFFF by [OR] Roader,,,,,,Map: Maple Caveway by Bottomless,,,,,,Map: Green Gleam (COTD) by Lexer,,,
,,Fastest Time: 40.803 by justMaki in Final,,,,,,Fastest Time: 45.501 by justMaki in Round 11,,,,,,Fastest Time: 47.017 by [CTR] jandje in Round 6,,,,,,Fastest Time: 42.778 by justMaki in Round 10,,,,,,Fastest Time: 43.666 by justMaki in Round 8,
18,Gootz,44.860,7,,,18,Hi Im Yolo,DNF,5,,,18,Goldfish,51.100,7,,,18,Hi Im Yolo,50.546,5,,,18,Hi Im Yolo,46.055,6
19,AndMe14,44.768,6,,,,ZTR177,DNF,5,,,19,JobW,48.312,6,,,19,Lazy_Ecidna,51.097,5,,,19,DeiRex,46.169,6
20,[CTR]TwoFace,45.033,6,,,,Erko,DNF,5,,,20,Ender,48.347,6,,,20,[CTR] jandje,DNF,5,,,20,Despacito,46.551,6
21,Lexer,45.230,6,,,21,G3RM,49.253,4,,,21,DeiRex,49.068,6,,,21,volker0815,51.728,4,,,21,RoundNzt,DNF,6
22,Tritonas1237,45.579,6,,,22,K-Nox,49.529,4,,,22,Lazy_Echidna,49.277,6,,,22,ttv/Lilly the Bun,1:14.117,4,,,22,Beans,46.585,5
23,DeiRex,44.630,5,,,23,MaxVerstappen9768,50.139,4,,,23,Lexer,49.213,5,,,23,A2 Zecklord,DNF,4,,,23,Diabler,47.182,5
24,Erko,45.257,5,,,24,Brian,54.318,4,,,24,TheGerm,49.381,5,,,,Tanaka,DNF,4,,,24,qaau,47.316,5
25,[OR] Roader,45.304,5,,,25,Frog Mime,DNF,3,,,25,JeramySS,49.812,5,,,25,[CTR]Cbad Cruiser,DNF,3,,,25,Suits,48.163,5
26,G3RM,47.677,5,,,,Arder,DNF,3,,,26,Akane,49.827,5,,,,L3it3R,DNF,3,,,26,Prepe,47.281,4
27,Hidden atlantis,45.154,4,,,,Lazy_Echidna,DNF,3,,,27,[RTR]Fwogiie.Kawaii,50.292,4,,,,DeiRex,DNF,3,,,27,Akane,47.478,4
28,broscolotos,45.538,4,,,,Shoe,DNF,3,,,28,[OR]Pigbuy,DNF,4,,,,Frog Mime,DNF,3,,,28,md_PL_,47.978,4
29,goldendon,45.585,4,,,,GuAlexItar,DNF,3,,,,[CTR] OwlPlague,DNF,4,,,29,RoundNzt,DNF,2,,,29,Carp,48.060,4
30,dejman,45.732,4,,,30,Diabler,51.217,2,,,,Psycho No. 7,DNF,4,,,,Psycho No. 7,DNF,2,,,30,Garfath,47.749,3
31,invisiblecat8,45.309,3,,,31,Sann93,52.814,2,,,31,[CTR]R0nanC,DNF,3,,,,SadD0ge,DNF,2,,,31,broscolotos,47.852,3
32,Frog Mime,45.898,3,,,32,VaiOnko,53.031,2,,,,lewis,DNF,3,,,,Diabler,DNF,2,,,32,alpa\,48.414,3
33,Jrax144,46.470,3,,,33,[CTR]R0nanC,DNF,2,,,,Tritonas1237,DNF,3,,,,Muttz05,DNF,2,,,33,MrMackCheeseBalls,49.184,3
34,SwiftyMarcus,48.471,3,,,34,SirMagicEarlobeTheFirst,DNF,1,,,34,L3it3R,51.408,2,,,,Matic_D,DNF,2,,,34,Im_that_bamaboy,49.293,2
35,snorReplay,47.307,2,,,,DRDOOM,DNF,1,,,35,Frog Mime,53.050,2,,,,Dark Ace,DNF,2,,,35,HLK#13PRO,49.371,2
36,Metalted,48.291,2,,,,BaasBallas,DNF,1,,,36,rsgold,DNF,2,,,36,[CTR]TwoFace,DNF,1,,,36,Dark Guard2712,49.401,2
37,FabulousHair49,50.296,2,,,,Jeyjey,DNF,1,,,,dencar85,DNF,2,,,,[OR] TNTArrow,DNF,1,,,37,Amazon Alexa,53.902,2
38,Goldfish,DNF,2,,,,Es3en,DNF,1,,,38,readfreak7,DNF,1,,,,Prepe,DNF,1,,,38,[OR] TNTArrow,DNF,1
39,everettseal3,DNF,1,,,,Tie208,DNF,1,,,,thefaststloth31,DNF,1,,,,RedTailedMink,DNF,1,,,,tristian.aaric.porter,DNF,1
,ExtraHollows,DNF,1,,,,,,,,,,ttv/Lilly the Bun,DNF,1,,,,,,,,,,byte_sized,DNF,1
,,,,,,,,,,,,,BeeHoles,DNF,1,,,,,,,,,,,,
