,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 56,,,,,,COTD 57,,,,,,COTD 58,,,,,,COTW 59,,,,,,COTW 60,,,
Map: COTD #56 - Appleberry Vale by DeeDeeNaNaNa,,,,,,Map: COTD - Sunrise Valley by Hate Hater & Renergy,,,,,,Map: Cape Nuggest by [CTR]Kernkob,,,,,,Map: COTD-Limit Zero by [ATB]reholmes92,,,,,,Map: Palm Freeze - COTW #60 by Maou & St Nic,,,
,,Fastest Time: 45.845 by [CTR]Kernkob in Round 12,,,,,,Fastest Time: 43.151 by [CTR]Kernkob in Round 12,,,,,,Fastest Time: 47.705 by [CTR]Hydro in Final,,,,,,Fastest Time: 38.784 by RoundNzt in Round 10,,,,,,Fastest Time: 42.737 by justMaki in Final,
11,Butter,46.748,6,,,11,RoundNzt,DNF,6,,,11,Hi Im Yolo,49.192,6,,,11,Es3en,39.220,7,,,11,agix,46.464,5
12,Shadynook,47.541,6,,,,St Nicholas,DNF,6,,,12,Shadynook,49.820,6,,,12,Pants,39.380,7,,,12,Hi Im Yolo,47.389,5
13,[TOG]Lazy_Echidna,47.396,5,,,13,DeiRex,46.398,5,,,13,LoadingCodex,49.171,5,,,13,EMel_,39.224,6,,,13,Jinx,47.444,4
14,R0nanC,47.397,5,,,14,[TOG]Lazy_Echidna,46.791,5,,,14,agix,49.382,5,,,14,PandaMane,39.267,6,,,14,Roader,47.878,4
15,icRS,47.495,5,,,15,Shadynook,DNF,5,,,15,maxie12,52.308,5,,,15,[TOG]Lazy_Echidna,39.286,6,,,15,[RB]Chinpokomon,48.155,3
16,FINSTER83,48.363,4,,,,R0nanC,DNF,5,,,16,[CTR]OwlPlague,DNF,5,,,16,St Nicholas,39.292,6,,,16,ferinine,50.244,3
17,DeiRex,48.412,4,,,17,agix,46.131,4,,,17,Romans138,51.568,4,,,17,agix,39.340,5,,,17,Romans138,DNF,3
18,Meowbee,48.427,4,,,18,loxiww,47.310,4,,,18,PandaMane,52.427,4,,,18,DeiRex,39.429,5,,,,Shatter,DNF,3
19,XpERt,48.769,4,,,19,Lax-Caveman,47.925,4,,,19,sobeisgood,52.563,4,,,19,sobeisgood,39.469,5,,,19,Kiprosa,49.853,2
20,Lax-Caveman,49.650,3,,,20,icRS,DNF,4,,,20,Bram2323,54.189,4,,,20,[ZMS] Metalted,39.474,5,,,20,Skooter_luke,52.984,2
21,cookie,53.182,3,,,21,R1KT3R,48.460,3,,,21,icRS,DNF,3,,,21,Hi Im Yolo,39.581,4,,,21,Axo,54.705,2
22,[vibe]3rdseyeview,DNF,3,,,22,Romans138,49.001,3,,,,[ZET]toast,DNF,3,,,22,Nails,39.584,4,,,22,[ZET]LILWOOLEY,DNF,2
,Heart-TGV,DNF,3,,,23,[ZET]LILWOOLEY,49.389,3,,,,masterofpi11436,DNF,3,,,23,Weak_Knees,39.615,4,,,23,Heart-TGV,51.886,1
24,Trapdoor,DNF,2,,,24,Bram2323,51.699,3,,,,[Lord] bernhard,DNF,3,,,24,Matic_D,DNF,4,,,24,cookie,DNF,1
,PoopSheriff,DNF,2,,,25,[CTR] jandje,DNF,2,,,,[ZET]LILWOOLEY,DNF,3,,,25,maxie12,39.948,3,,,,Celery (Hcart),DNF,1
,Pants,DNF,2,,,,Northwind,DNF,2,,,26,Baul Plart,DNF,2,,,26,[ZET]LILWOOLEY,39.965,3,,,,,,
,[SWDN]//////void,DNF,2,,,,cgwheeler96,DNF,2,,,,Nails,DNF,2,,,27,cookie,40.209,3,,,,,,
,[ZET] Wheelie,DNF,2,,,,[TOG]ioi8,DNF,2,,,,aistafanous,DNF,2,,,28,[ZET] Wheelie,40.766,3,,,,,*Yahtzee,
,LILWOOLEY,DNF,2,,,29,A2 Zecklord,DNF,1,,,29,Kaiser64,DNF,1,,,29,Alaskaman79,40.068,2,,,,,,
30,gobbs92,DNF,1,,,,Flames1099,DNF,1,,,,Miner_vdv,DNF,1,,,30,azebramoomoo,40.438,2,,,,,,
,imagineaclevernamehere,DNF,1,,,,[TG]Tommygaming5132,DNF,1,,,,Hype Flexington,DNF,1,,,31,[RB]Chinpokomon,DNF,2,,,,,,
,[mour]jason.piette,DNF,1,,,,evan.m.messerschmidt,DNF,1,,,,[RB]Chinpokomon,DNF,1,,,,Mr. Cranky,DNF,2,,,,,,
,,,,,,,maxie12,DNF,1,,,,KingKongBigDong,DNF,1,,,33,Gzusmon,41.353,1,,,,,,
,,,,,,,Onsra,DNF,1,,,,ferinine,DNF,1,,,34,Razboy20,41.451,1,,,,,,
,,,,,,,[ZET] Wheelie,DNF,1,,,,JJSP,DNF,1,,,35,[ZET]vectortrajector,DNF,1,,,,,,
,,,,,,,V1p3r,DNF,1,,,,MaxRex,DNF,1,,,,it_is_nic,DNF,1,,,,,,
,,,,,,,[jfsf] jake from state farm frying eggs,DNF,1,,,,SnowWolfyx2,DNF,1,,,,,,,,,,,,
,,,,,,,GearworkDragon,DNF,1,,,,,,,,,,,,,,,,,,
,,,,,,,[ZET]vectortrajector,DNF,1,,,,,,,,,,,,,,,,,,
,,,,,,,[KURK]Smullie,DNF,1,,,,,,,,,,,,,,,,,,
,,,,,,,sobeisgood,DNF,1,,,,,,,,,,,,,,,,,,
,,,,,,,Henke,DNF,1,,,,,,,,,,,,,,,,,,
,,,,,,,[RB]Chinpokomon,DNF,1,,,,,,,,,,,,,,,,,,
