,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map: L3it3R's CotD - Say Less by [CTR]L3it3R,,,,,,COTD 27,,,,,,,COTD 28,,,,,,COTD 29,,,,,,COTD 30,,,
,,Fastest Time: 40.828 by justMaki in Round 2,,,,Map: Goose Chase - Cotd 27 by [Soap] Socks242,,,,,,,Map: Juniper Pass - COTD #28 by [cozy]St Nicholas,,,,,,Map: COTD #29 Of Course It's Bobsled by [CTR]Cbad Cruiser,,,,,,Map: sandals is slacking by Kernkob,,,
,DragonBoi,DNF,5,,,17,SadD0ge,42.454,5,,,,17,[RonC] shadeely,47.232,3,,,17,[RonC] shadeely,52.087,6,,,17,Ballenkrabber,DNF,3
19,Romans138,44.709,4,,,18,[TOOB]Renergy,42.935,5,,,,18,Hi Im Yolo,47.211,2,,,18,Cactushead,50.693,5,,,18,[TOB] rtyyyyb,DNF,2
20,snailspace,45.417,4,,,19,DeiRex,42.895,4,,,,19,Michael,47.710,2,,,19,DeiRex,50.726,5,,,,Hi Im Yolo,DNF,2
21,[badr] Hidef09,45.487,4,,,20,TimPanZee,43.712,4,,,,20,:Z_::E_::E_::P_: Joking,DNF,2,,,20,Michael,53.368,5,,,,gtub,DNF,2
22,[CTR]R0nanC,DNF,4,,,21,[KBR] shadeely,43.844,4,,,,,Frey_Finley,DNF,2,,,21,Lexer,DNF,5,,,,[WASD] Dentalon,DNF,2
23,The Law,46.774,3,,,22,Codewalt,DNF,4,,,,22,Scheepsjongen,DNF,1,,,22,DeeDeeNaNaNa,52.156,4,,,22,[GV] Principe,DNF,1
24,Socks242,DNF,3,,,23,Draug,44.960,3,,,,,[Qc] GuillaumePN,DNF,1,,,23,icRS,52.902,4,,,,koz,DNF,1
,fer1099,DNF,3,,,24,Waaksaam,45.032,3,,,,,nusuntpenguin,DNF,1,,,24,Akane,53.603,4,,,,Vampiric,DNF,1
,DeeDeeNaNaNa,DNF,3,,,25,[XTR]Hawk,DNF,3,,,,,Ploddip,DNF,1,,,25,MeroMeroNoMi,DNF,4,,,,K-Nox,DNF,1
27,gordeiegorov,50.734,2,,,,[HRT!]Meowbee,DNF,3,,,,,imagineaclevernamehere,DNF,1,,,26,[heyo]potatotron,52.664,3,,,,Ichor,DNF,1
28,Microknigh7,DNF,2,,,27,Cactushead,45.788,2,,,,,,,,,,27,Shadynook,52.783,3,,,,zunbrikr,DNF,1
,NatePW,DNF,2,,,28,volker0815,46.448,2,,,,,,,,,,28,TrdMrk,54.014,3,,,,[XTR]Exterminate,DNF,1
,DonutDawg07,DNF,2,,,29,GrahamPlayz8,46.604,2,,,,,,,,,,29,3rdseyeview,DNF,3,,,,[bldr]reholmes92,DNF,1
31,[RTR]Mark,DNF,1,,,30,DeeDeeNaNaNa,51.422,2,,,,,,,,,,30,gatenby_neil,55.103,2,,,,Renowneddragoon,DNF,1
,[HUGS]Pheonjx,DNF,1,,,31,Mulac25,DNF,1,,,,,,,,,,31,[LBFT] IHaveNoIdeaDanny,57.103,2,,,,Wheelie,DNF,1
,Cactushead,DNF,1,,,,A Broken Forklift,DNF,1,,,,,,,,,,32,[TOOB]Renergy,DNF,2,,,,imagineclevernamehere,DNF,1
,[KBR] shadeely,DNF,1,,,,icRS,DNF,1,,,,,,,,,,,CheesyWizard,DNF,2,,,,[TRG]Tamir,DNF,1
,agix,DNF,1,,,,Arturxxx,DNF,1,,,,,,,,,,34,milokittykat,DNF,1,,,,,,
,Qwert26,DNF,1,,,,oliver_the_boss,DNF,1,,,,,,,,,,,agix,DNF,1,,,,,,
,TRG Pants,DNF,1,,,,gordeiegorov,DNF,1,,,,,,,,,,,BramvdN,DNF,1,,,,,,
,Zahlharrass,DNF,1,,,,,,,,,,,,,,,,,alpa\,DNF,1,,,,,,
,,,,,,,,,,,,,,,,,,,,[Qc] GuillaumePN,DNF,1,,,,,,
,,,,,,,,,,,,,,,,,,,,Zeth,DNF,1,,,,,,
,,,,,,,,,,,,,,,,,,,,DiamondInsanity,DNF,1,,,,,,
