,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 106,,,,,,COTD 107,,,,,,COTD 108,,,,,,COTD 109,,,,,,COTD 110,,,
Map: Coconut Archipelago by Weak_Knees,,,,,,Map: Förlorade Ön by [CSC]OLR94,,,,,,Map: COTD - Mana Mine by mori_cinis,,,,,,Map: CotD - Mortanglement by [CTR]Mortishade,,,,,,Map: One is fresh; The other is dried by agix,,,
,,Fastest Time: 47.773 by RoundNzt in Round 6,,,,,,Fastest Time: 45.710 by ZOMAN in Round 5,,,,,,Fastest Time: 44.532 by [KURK] Quickracer10 in Final,,,,,,Fastest Time: 42.500 by [KURK] Quickracer10 in Round 13,,,,,,Fastest Time: 41.812 by justMaki in Round 15,
,frenchteost,DNF,3,,,17,[Toob]Murrl,47.421,8,,,17,[ZET] Wheelie,DNF,9,,,17,ping,44.653,8,,,17,brrryy,44.552,7
,daytime,DNF,3,,,18,[Toob]MMXD18,47.577,8,,,,Adam,DNF,9,,,18,[CSC] DeeDeeNaNaNa,44.766,8,,,18,RoundNzt,44.930,7
19,[KURK[ Quickracer10,DNF,2,,,19,[COMY]Weak_Knees,47.616,8,,,19,Ratz,47.052,8,,,19,[CSC] redal,44.695,7,,,19,[CSC] Shadynook,44.609,6
,brrryy,DNF,2,,,20,FINSTER83,47.788,8,,,20,[TOG]Lazy_Echidna,DNF,8,,,20,[CSC] Shadynook,45.156,7,,,20,R0nanC,45.378,6
,[CSC] An Actual g00se,DNF,2,,,21,[RB]Chinpokomon,48.314,7,,,,elekvault,DNF,8,,,21,Matic_D,46.215,7,,,21,[TOG]Lazy_Echidna,45.903,6
,agix,DNF,2,,,22,[CTR]Mortishade,48.325,7,,,,Leviathan (Gimpel),DNF,8,,,22,MackCheesy,DNF,7,,,22,Kernkob,DNF,6
,Noxitu,DNF,2,,,23,[CTR]Lamp,48.351,7,,,23,Yoshi,46.609,7,,,23,[TTR]MetalCJ,45.411,6,,,23,[CSC] variableferret,45.474,5
,MMXD18,DNF,2,,,24,Noxitu,48.539,7,,,24,brrryy,DNF,7,,,24,Yoshi,45.890,6,,,24,[CSC] DeeDeeNaNaNa,46.619,5
,RubenMBL,DNF,2,,,25,[CSC] An Actual g00se,48.511,6,,,,[CTR]Lamp,DNF,7,,,25,Noxitu,45.950,6,,,25,k2blue,DNF,5
,[CTR]Lamp,DNF,2,,,26,Reamerad,48.712,6,,,,chris13503,DNF,7,,,26,FINSTER83,DNF,6,,,,Fatboy,DNF,5
,Gerfboy,DNF,2,,,27,Gerfboy,49.289,6,,,27,[MIB]Moody,46.981,6,,,27,[Slow]stindt,46.143,5,,,27,Orthros,45.643,4
,Matic_D,DNF,2,,,28,wokonbike,49.708,6,,,28,wokonbike,47.918,6,,,28,graysonvitek88,47.166,5,,,28,[CTR]Mμ,45.823,4
,[RB]Chinpokomon,DNF,2,,,29,Orthros,48.997,5,,,29,[KURK] lil_zwimpie,48.315,6,,,29,Past,48.018,5,,,29,DorJis,46.196,4
,[DHLU]MarcSubstitute,DNF,2,,,30,Fatboy,49.379,5,,,30,[GGG]LKat,DNF,6,,,30,Ratz,52.827,5,,,30,[20X]K410K3N,46.249,4
31,MackCheesy,DNF,1,,,31,[ZET]Sword125,49.486,5,,,31,[CTR]Mortishade,DNF,5,,,31,Reamerad,47.330,4,,,31,Noxitu,48.221,3
,[CTR]Mortishade,DNF,1,,,32,Neon_King2,49.894,5,,,,[CSC] redal,DNF,5,,,32,[ZET]Sword125,55.445,4,,,32,FINSTER83,DNF,3
,Hellmet,DNF,1,,,33,Hellmet,50.403,4,,,,[iDad]dudeeitsraymond,DNF,5,,,33,[CTR]Lamp,DNF,4,,,,MMXD18,DNF,3
,Adam,DNF,1,,,34,franearthsea,51.801,4,,,,Gerfboy,DNF,5,,,,koprol In de kringloop,DNF,4,,,,St Nicholas,DNF,3
,Orblets,DNF,1,,,35,M4rv,DNF,4,,,35,SjorsTea,52.473,4,,,35,MMXD18,52.076,3,,,35,Northwind,46.834,2
,[GGG] Kreeeeee,DNF,1,,,,Form,DNF,4,,,36,Form,DNF,4,,,36,[ZET] Wheelie,DNF,3,,,36,[MIB]Joe Beidl,47.579,2
,ElectricCaveman,DNF,1,,,37,[MIB]Moody,50.765,3,,,,Noxitu,DNF,4,,,,Form,DNF,3,,,37,[Err]ferinine,DNF,2
,Achmetha0626,DNF,1,,,38,lcanakin,50.881,3,,,,Banana,DNF,4,,,,[RB]Chinpokomon,DNF,3,,,,Gerfboy,DNF,2
,CodeingerCat,DNF,1,,,39,nate69cam,52.926,3,,,39,[GGG]Victor,50.505,3,,,39,imagineaclevernamehere,59.066,2,,,39,[vibe]3rdseyeview,DNF,1
,[TTR]MetalCJ,DNF,1,,,40,[Toob]rtube,DNF,3,,,40,[ZET]Sword125,50.795,3,,,40,Chicken,1:03.814,2,,,,gilgool,DNF,1
,Wagzzz.,DNF,1,,,41,jgorsc5200,53.156,2,,,41,koprol In de kringloop,DNF,3,,,41,[SLOW]MarcSubstitute,DNF,2,,,,Reamerad,DNF,1
,Kilandor,DNF,1,,,42,Squarefish,54.505,2,,,,Losdayver,DNF,3,,,,DRWright38,DNF,2,,,,[iDad] dudeeitsraymond,DNF,1
,lost in trees,DNF,1,,,43,agix,DNF,2,,,43,Past,51.858,2,,,43,Hellmet,DNF,1,,,,Movvgli,DNF,1
,[Ramn] MasterTrainieT,DNF,1,,,,Mountacats,DNF,2,,,44,deadlleg,DNF,2,,,,Constable Bunu,DNF,1,,,,[ZET]Sword125,DNF,1
,Arnok0306,DNF,1,,,45,Jango,57.704,1,,,,[CHZB]Willow!,DNF,2,,,,maikelvg,DNF,1,,,,Gurgies,DNF,1
,b17bobby,DNF,1,,,46,Dartho Mas,DNF,1,,,,CodeZz,DNF,2,,,,vip,DNF,1,,,,Brachaldis,DNF,1
,[MIB]TheRockingSheep,DNF,1,,,47,smaier29,DNF,1,,,47,ZOMAN,DNF,1,,,,[ZET] Goat Cheez,DNF,1,,,,Shiftypowers83,DNF,1
,[GGG]Lkat,DNF,1,,,,,,,,,,sobeisgood,DNF,1,,,,AhFu,DNF,1,,,,Chicken,DNF,1
,,,,,,,,,,,,,[KURK]Smullie,DNF,1,,,,crant0202,DNF,1,,,,,,
,,,,,,,,,,,,,Ollie_May13,DNF,1,,,,,,,,,,,,
