,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTD 11,,,,,,COTD 12,,,,,,COTD 13,,,,,,COTD 14,,,,,,COTD 15,,,
Map: COTD LP SSM_GravityFP by [CTR] LupensCruor,,,,,,Map: Veneered Tenacity (cotd 12) by Kernkob,,,,,,Map: COTD - Abondance by JobW,,,,,,Map: Lucid Dreams - COTD by ZOMAN,,,,,,Map: Spiky Synset - COTD #15 by RoundNzt,,,
,,Fastest Time: 42.449 by [CTR] jandje in Round 9,,,,,,Fastest Time: 40.287 by [CTR] jandje in Round 9,,,,,,Fastest Time: 42.648 by Mark in Round 11,,,,,,Fastest Time: 47.074 by [CTR] jandje in Round 7,,,,,,Fastest Time: 40.092 by [CTR] jandje in Final,
15,St Nicholas,44.298,7,,,15,Lexer,42.188,5,,,15,St Nicholas,45.453,8,,,,Hi Im Yolo,DNF,5,,,15,SadD0ge,42.444,7
16,[RTR]Fwogiie.Kawaii,44.575,7,,,16,DeiRex,42.345,5,,,16,Llama,47.091,8,,,16,Prepe,52.036,4,,,16,Hi Im Yolo,42.995,7
17,Pig_Lad,44.720,7,,,17,Prepe,42.491,5,,,17,Lazy_Echidna,46.531,7,,,17,JaBabbit,52.139,4,,,17,invisiblecat8,44.738,6
18,schmxrg,44.451,6,,,18,[CTR]R0nanC,DNF,5,,,18,Lexer,46.660,7,,,18,DeiRex,52.392,4,,,18,Acoustic Rooster,44.793,6
19,[CTR]R0nanC,44.646,6,,,19,[CTR] LupensCruor,42.535,4,,,19,A Broken Forklift,47.705,7,,,19,invisablecat8,DNF,4,,,19,Bridaggs,44.986,6
20,Es3en,44.947,6,,,20,Diabler,42.698,4,,,20,Bridaggs,48.916,7,,,20,LoadingCodex,52.497,3,,,20,JobW,DNF,6
21,Frog Mime,45.036,6,,,21,Chapin,43.325,4,,,21,Jrax144,46.449,6,,,21,Akane,52.751,3,,,21,volker0815,47.678,5
22,Arch,44.585,5,,,22,St Nicholas,43.420,4,,,22,[CTR]L3it3R,46.957,6,,,22,justMaki,DNF,3,,,22,justMaki,DNF,5
23,Llama,44.930,5,,,23,TheGerm,43.202,3,,,23,[BGR] Joking,46.972,6,,,,JobW,DNF,3,,,,//////void,DNF,5
24,[BGR] Joking,44.972,5,,,24,md_PL_,43.239,3,,,24,Hi Im Yolo,48.120,6,,,24,St Nicholas,DNF,2,,,,Codewalt,DNF,5
25,Lexer,44.995,5,,,25,Hi Im Yolo,44.352,3,,,25,Codewalt,50.055,5,,,,A2 Zecklord,DNF,2,,,25,Arder,47.795,4
26,snorReplay,45.205,4,,,26,Renowneddragoon,44.642,3,,,26,[P50] TraNin,DNF,5,,,,Renergy,DNF,2,,,26,ChopStiR,47.962,4
27,[RTR] Not That Guy,45.280,4,,,27,ITz_WillleeMan,45.174,2,,,27,dencar85,DNF,5,,,,Galactichero623,DNF,2,,,27,RandomDutchman,49.851,4
28,AndMe14,45.305,4,,,28,Mark,DNF,2,,,28,[OR] Roader,DNF,5,,,,A Broken Forklift,DNF,2,,,28,Shadymonkey,DNF,4
29,broscolotos,45.445,4,,,,Artdeath,DNF,2,,,29,snorReplay,49.656,4,,,,Lexer,DNF,2,,,29,ChociCinna94,50.257,3
30,EnviousFly*,45.314,3,,,,DBNULL,DNF,2,,,30,Draug,49.856,4,,,,Boonanas,DNF,2,,,30,julienwalker18,55.598,3
31,Prepe,45.410,3,,,31,13Silvers,DNF,1,,,31,Renergy,50.253,4,,,,md_PL_,DNF,2,,,31,Lexer,DNF,3
32,Tritonas1237,45.440,3,,,,gtub,DNF,1,,,32,jjryt,DNF,4,,,32,[RTR]Fwogiie.Kawaii,DNF,1,,,,fer1099,DNF,3
33,//////void,45.716,3,,,,SHARKa,DNF,1,,,33,Forewander,49.701,3,,,,Psycho No. 7,DNF,1,,,33,Sann93,47.761,2
34,DeiRex,46.452,2,,,,Hoyuu4,DNF,1,,,34,agix,51.685,3,,,,ProtioN,DNF,1,,,34,Warcans,DNF,2
35,jjryt,48.270,2,,,,XydesReaper,DNF,1,,,35,Erko,DNF,3,,,,Ebruis,DNF,1,,,,St Nicholas,DNF,2
36,Neb,DNF,2,,,,,,,,,,AndMe14,DNF,3,,,,Bobsen Duggnut,DNF,1,,,,[CTR]zedShep,DNF,2
,Hi Im Yolo,DNF,2,,,,,,,,,37,volker0815,49.634,2,,,,[OR] TNTArrow,DNF,1,,,35,Lazy_Echidna,DNF,1
38,theubergeek,50.970,1,,,,,,,,,38,gatenby_neil,49.884,2,,,,Max Scaffold,DNF,1,,,,NinjaTurtle010,DNF,1
39,L3it3R,DNF,1,,,,,,,,,39,gabinepotu,51.188,2,,,,sander,DNF,1,,,,Vishi_An,DNF,1
,,,,,,,,,,,,40,[RTR] Not That Guy,DNF,2,,,,,,,,,,bobbarleh,DNF,1
,,,,,,,,,,,,41,Pheonjx,53.403,1,,,,,,,,,,leatsyke ,DNF,1
,,,,,,,,,,,,42,julienwalker18,DNF,1,,,,,,,,,,Ronan_The_Denominator,DNF,1
,,,,,,,,,,,,43,Tritonas1237,DNF,1,,,,,,,,,,,,
